BACTERIAL_STRAIN_NAME	Curie	Name	Sample	Category	Xrefs	Supplier	Catalog/Product ID	Supplier_Catalog_id	Strain Name
CITFR SS11618	NBT:SS11618CITFR	CITFR SS11618	Wound	Quinolone S					
CITKO 64841	NBT:64841CITKO	CITKO 64841	Fluid	N/S					
CITKO 64876	NBT:64876CITKO	CITKO 64876	Pus	N/S					
CITKO 65199	NBT:65199CITKO	CITKO 65199	Tissue	N/S					
CITKO 69571	NBT:69571CITKO	CITKO 69571	Blood	N/S					
CITKO 69905	NBT:69905CITKO	CITKO 69905	Blood	N/S					
CITKO 70586	NBT:70586CITKO	CITKO 70586	Blood	N/S					
CITKO 70628	NBT:70628CITKO	CITKO 70628	Blood	N/S					
CITKO 70655	NBT:70655CITKO	CITKO 70655	Blood	N/S					
CITKO 71161	NBT:71161CITKO	CITKO 71161	Blood	CARBR					
CITKO 71430	NBT:71430CITKO	CITKO 71430	Blood	N/S					
CITKO 71456	NBT:71456CITKO	CITKO 71456	Blood	N/S					
CITKO 72620	NBT:72620CITKO	CITKO 72620	Blood	N/S					
CITKO 72761	NBT:72761CITKO	CITKO 72761	Blood	N/S					
CITKO 73838	NBT:73838CITKO	CITKO 73838	Blood	N/S					
CITKO 78878	NBT:78878CITKO	CITKO 78878	Blood	N/S					
CITKO 84534	NBT:84534CITKO	CITKO 84534	Blood	Quinolone S					
CITKO 85395	NBT:85395CITKO	CITKO 85395	Blood	Quinolone S					
CITKO 85542	NBT:85542CITKO	CITKO 85542	Blood	Quinolone S					
CITKO 86510	NBT:86510CITKO	CITKO 86510	Blood	Quinolone S					
CITKO 87319	NBT:87319CITKO	CITKO 87319	Blood	Quinolone S					
CITKO 87462	NBT:87462CITKO	CITKO 87462	Blood	Quinolone S					
CITKO 87860	NBT:87860CITKO	CITKO 87860	Blood	Quinolone S					
CITKO 88683	NBT:88683CITKO	CITKO 88683	Blood	Quinolone S					
CITKO 89168	NBT:89168CITKO	CITKO 89168	Blood	Quinolone S					
